system:index,elevation,latitude,longitude,.geo
1619_0,24.18056,69.21156810111074,-50.71832077246144,"{""type"":""MultiPoint"",""coordinates"":[]}"
1628_0,949.72736,66.08162845265548,-52.89581554007392,"{""type"":""MultiPoint"",""coordinates"":[]}"
1643_0,1550.5839,64.41983147850844,-48.85768024851532,"{""type"":""MultiPoint"",""coordinates"":[]}"
1649_0,377.60187,68.86588238067141,-50.13340478436781,"{""type"":""MultiPoint"",""coordinates"":[]}"
1654_0,354.02496,76.18454091830232,-67.89922651007284,"{""type"":""MultiPoint"",""coordinates"":[]}"
1660_0,969.02734,69.87532240820843,-52.68658008504239,"{""type"":""MultiPoint"",""coordinates"":[]}"
1662_0,1762.6636,61.920955682047165,-47.39503779833276,"{""type"":""MultiPoint"",""coordinates"":[]}"
1698_0,379.02783,77.70627216029744,-69.95047183003068,"{""type"":""MultiPoint"",""coordinates"":[]}"
1701_0,1158.188,74.21343552134582,-54.72113147480326,"{""type"":""MultiPoint"",""coordinates"":[]}"
1716_0,347.36957,76.29667853602449,-65.24956438400885,"{""type"":""MultiPoint"",""coordinates"":[]}"
1727_0,1272.73,78.20393311592204,-68.346805190863,"{""type"":""MultiPoint"",""coordinates"":[]}"
1737_0,87.405685,66.14298592187288,-53.49000722987248,"{""type"":""MultiPoint"",""coordinates"":[]}"
1739_0,1733.536,61.642777307268524,-46.179327893790266,"{""type"":""MultiPoint"",""coordinates"":[]}"
1758_0,18.318167,76.24483859936697,-65.54518195742462,"{""type"":""MultiPoint"",""coordinates"":[]}"
1762_0,603.8676,61.83258768006771,-48.8628210209912,"{""type"":""MultiPoint"",""coordinates"":[]}"
1778_0,60.329994,62.40952691812678,-49.99365300881954,"{""type"":""MultiPoint"",""coordinates"":[]}"
1786_0,870.397,67.32309931703114,-52.20324424730977,"{""type"":""MultiPoint"",""coordinates"":[]}"
1787_0,1117.6401,62.82556405758408,-49.44839577427496,"{""type"":""MultiPoint"",""coordinates"":[]}"
1799_0,1075.6476,66.79785064125974,-49.19820248467799,"{""type"":""MultiPoint"",""coordinates"":[]}"
1804_0,440.0671,77.49976293944911,-65.32725789450855,"{""type"":""MultiPoint"",""coordinates"":[]}"
1819_0,612.0108,67.434061535544,-52.485056539414416,"{""type"":""MultiPoint"",""coordinates"":[]}"
1822_0,567.0064,77.84458034728348,-69.79132576125073,"{""type"":""MultiPoint"",""coordinates"":[]}"
1829_0,467.56644,69.37500527248352,-50.09583918694652,"{""type"":""MultiPoint"",""coordinates"":[]}"
1846_0,329.0232,60.16020818890751,-44.721462080074005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1854_0,896.33374,61.782719704500785,-48.776323183269305,"{""type"":""MultiPoint"",""coordinates"":[]}"
1855_0,257.93,66.75555108615006,-52.51920035355273,"{""type"":""MultiPoint"",""coordinates"":[]}"
1858_0,414.04556,78.32834377506983,-72.21132042744348,"{""type"":""MultiPoint"",""coordinates"":[]}"
1859_0,229.06772,65.19628309584999,-51.25184627993769,"{""type"":""MultiPoint"",""coordinates"":[]}"
1875_0,52.335873,75.65683258559422,-58.3343354572849,"{""type"":""MultiPoint"",""coordinates"":[]}"
1882_0,690.4198,76.2984809190612,-60.81494542510731,"{""type"":""MultiPoint"",""coordinates"":[]}"
1889_0,398.81134,64.50672941885662,-50.52619626366504,"{""type"":""MultiPoint"",""coordinates"":[]}"
1895_0,668.4374,66.41944201123732,-52.11720890200981,"{""type"":""MultiPoint"",""coordinates"":[]}"
1902_0,921.26624,73.55384627712483,-54.60715231637712,"{""type"":""MultiPoint"",""coordinates"":[]}"
1905_0,621.0892,76.93095362522591,-68.99536867506102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1914_0,1665.3562,72.4658174248723,-52.287904318525236,"{""type"":""MultiPoint"",""coordinates"":[]}"
1918_0,445.21735,76.39372712264239,-66.76005465638512,"{""type"":""MultiPoint"",""coordinates"":[]}"
1922_0,776.82227,73.4467422938055,-54.671686185826,"{""type"":""MultiPoint"",""coordinates"":[]}"
1930_0,803.98425,60.71391869193907,-44.938029778642445,"{""type"":""MultiPoint"",""coordinates"":[]}"
1938_0,412.3806,69.92255405646051,-51.12121406891589,"{""type"":""MultiPoint"",""coordinates"":[]}"
1944_0,107.64549,71.46122159832706,-51.391803218530136,"{""type"":""MultiPoint"",""coordinates"":[]}"
1970_0,495.98294,68.41473197155376,-50.668422891790186,"{""type"":""MultiPoint"",""coordinates"":[]}"
1972_0,224.486,76.09011737740451,-60.04434832418316,"{""type"":""MultiPoint"",""coordinates"":[]}"
1987_0,1133.7607,67.26448165328772,-49.308929262962074,"{""type"":""MultiPoint"",""coordinates"":[]}"
1996_0,665.09937,73.12798712042748,-54.54566661998471,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_0,1320.4543,65.67640060551128,-49.42940808112644,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_0,2019.9753,61.2506411551564,-44.37858531254059,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_0,57.107666,59.8657079379247,-43.80044296987317,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_0,152.43446,69.92919720970585,-54.827654168707795,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_0,1020.9586,63.44741153774263,-49.356141265220984,"{""type"":""MultiPoint"",""coordinates"":[]}"
