system:index,aspect,latitude,longitude,.geo
1762_0,1,61.83276667876193,-48.86404613008222,"{""type"":""MultiPoint"",""coordinates"":[]}"
1778_0,4,62.40896570111912,-49.993452865559064,"{""type"":""MultiPoint"",""coordinates"":[]}"
1786_0,3,67.32381080373924,-52.202432607802606,"{""type"":""MultiPoint"",""coordinates"":[]}"
1787_0,4,62.82579886096993,-49.44795647726457,"{""type"":""MultiPoint"",""coordinates"":[]}"
1799_0,1,66.79804261676152,-49.1992532576708,"{""type"":""MultiPoint"",""coordinates"":[]}"
1804_0,4,77.49959339426304,-65.32269764580654,"{""type"":""MultiPoint"",""coordinates"":[]}"
1819_0,3,67.43343640307252,-52.485893250960586,"{""type"":""MultiPoint"",""coordinates"":[]}"
1822_0,4,77.8450045275462,-69.79058441966407,"{""type"":""MultiPoint"",""coordinates"":[]}"
1829_0,4,69.37587967053261,-50.0951685874481,"{""type"":""MultiPoint"",""coordinates"":[]}"
1846_0,4,60.160854817753396,-44.720848917780245,"{""type"":""MultiPoint"",""coordinates"":[]}"
1854_0,3,61.78321164900104,-48.77593128277267,"{""type"":""MultiPoint"",""coordinates"":[]}"
1855_0,1,66.75631603134514,-52.51911619303229,"{""type"":""MultiPoint"",""coordinates"":[]}"
1858_0,1,78.3288906862295,-72.21347200796502,"{""type"":""MultiPoint"",""coordinates"":[]}"
1859_0,2,65.1968290605055,-51.252516913700816,"{""type"":""MultiPoint"",""coordinates"":[]}"
1875_0,2,75.65690368116782,-58.332329558877625,"{""type"":""MultiPoint"",""coordinates"":[]}"
1882_0,1,76.2980727623644,-60.811861692725294,"{""type"":""MultiPoint"",""coordinates"":[]}"
1889_0,1,64.50593840800043,-50.52714683118613,"{""type"":""MultiPoint"",""coordinates"":[]}"
1895_0,4,66.41926072544112,-52.11815572921656,"{""type"":""MultiPoint"",""coordinates"":[]}"
1902_0,1,73.55345229832571,-54.60675489258438,"{""type"":""MultiPoint"",""coordinates"":[]}"
1905_0,1,76.93187459925372,-68.99563701448166,"{""type"":""MultiPoint"",""coordinates"":[]}"
1914_0,1,72.46621660918382,-52.285809962262604,"{""type"":""MultiPoint"",""coordinates"":[]}"
1918_0,2,76.39383711105083,-66.76044954660424,"{""type"":""MultiPoint"",""coordinates"":[]}"
1922_0,4,73.4474775959015,-54.672608770926935,"{""type"":""MultiPoint"",""coordinates"":[]}"
1930_0,4,60.713182407795976,-44.938119804262726,"{""type"":""MultiPoint"",""coordinates"":[]}"
1938_0,1,69.92199230211058,-51.123006202358255,"{""type"":""MultiPoint"",""coordinates"":[]}"
1944_0,4,71.46087344621927,-51.392676987110995,"{""type"":""MultiPoint"",""coordinates"":[]}"
1970_0,4,68.4141688752289,-50.67034024799929,"{""type"":""MultiPoint"",""coordinates"":[]}"
1972_0,4,76.09007480448561,-60.041361674158516,"{""type"":""MultiPoint"",""coordinates"":[]}"
1987_0,4,67.2649122492785,-49.31097112905725,"{""type"":""MultiPoint"",""coordinates"":[]}"
1996_0,2,73.1270127367898,-54.54778553015587,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_0,1,65.6757295782285,-49.429604437352715,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_0,2,61.25102951374533,-44.378125917435014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_0,3,59.86644042102782,-43.80032664347529,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_0,4,69.92850362906927,-54.82478870707624,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_0,1,63.44694097886121,-49.355766708268874,"{""type"":""MultiPoint"",""coordinates"":[]}"
2037_0,4,80.24496852079359,-65.12868532172301,"{""type"":""MultiPoint"",""coordinates"":[]}"
2042_0,1,63.0492746606547,-49.811185262100054,"{""type"":""MultiPoint"",""coordinates"":[]}"
2045_0,4,71.74843697993293,-51.252584559324376,"{""type"":""MultiPoint"",""coordinates"":[]}"
2049_0,4,74.10662020712053,-54.87501563600959,"{""type"":""MultiPoint"",""coordinates"":[]}"
2051_0,4,79.46380574341444,-62.49767817009429,"{""type"":""MultiPoint"",""coordinates"":[]}"
2060_0,2,70.3286879748831,-52.53497990299552,"{""type"":""MultiPoint"",""coordinates"":[]}"
2063_0,2,64.57370359491573,-49.88044296430971,"{""type"":""MultiPoint"",""coordinates"":[]}"
2076_0,1,79.91271010333803,-63.88152928472622,"{""type"":""MultiPoint"",""coordinates"":[]}"
2085_0,3,64.60604030325484,-50.327314700325886,"{""type"":""MultiPoint"",""coordinates"":[]}"
2099_0,4,71.82681927082768,-54.0593755730089,"{""type"":""MultiPoint"",""coordinates"":[]}"
2110_0,4,76.20298478110253,-64.81065213515815,"{""type"":""MultiPoint"",""coordinates"":[]}"
2119_0,2,60.531027807547936,-44.7242122846332,"{""type"":""MultiPoint"",""coordinates"":[]}"
2122_0,1,60.989865453864404,-44.59109574753171,"{""type"":""MultiPoint"",""coordinates"":[]}"
2123_0,1,77.02985033287821,-66.44922131374469,"{""type"":""MultiPoint"",""coordinates"":[]}"
2145_0,1,80.93532928034905,-64.39255188115182,"{""type"":""MultiPoint"",""coordinates"":[]}"
2149_0,1,75.9447153981564,-59.516732328492004,"{""type"":""MultiPoint"",""coordinates"":[]}"
2167_0,4,69.63696618082813,-54.59124182691575,"{""type"":""MultiPoint"",""coordinates"":[]}"
2179_0,2,79.93490073057953,-61.77706783617602,"{""type"":""MultiPoint"",""coordinates"":[]}"
2187_0,4,65.98627541953576,-51.96368242691426,"{""type"":""MultiPoint"",""coordinates"":[]}"
2197_0,2,76.3411345893211,-65.40761439609854,"{""type"":""MultiPoint"",""coordinates"":[]}"
2227_0,4,80.77447616704282,-60.528092273553135,"{""type"":""MultiPoint"",""coordinates"":[]}"
2238_0,2,62.51875594977794,-49.10459366021094,"{""type"":""MultiPoint"",""coordinates"":[]}"
2243_0,2,71.60204072481109,-53.35186534761899,"{""type"":""MultiPoint"",""coordinates"":[]}"
2251_0,4,76.5434525444071,-60.29767644977846,"{""type"":""MultiPoint"",""coordinates"":[]}"
2258_0,1,69.84231021881939,-53.066911476842506,"{""type"":""MultiPoint"",""coordinates"":[]}"
2259_0,4,66.7312702285383,-49.2318382770097,"{""type"":""MultiPoint"",""coordinates"":[]}"
2267_0,4,65.41321441179316,-49.155529975303025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2271_0,2,60.64064208543974,-44.12705955149828,"{""type"":""MultiPoint"",""coordinates"":[]}"
2277_0,4,67.31162323794722,-52.518739651398405,"{""type"":""MultiPoint"",""coordinates"":[]}"
2303_0,1,61.2713189055938,-48.47810484062662,"{""type"":""MultiPoint"",""coordinates"":[]}"
2310_0,4,68.48278587967198,-51.084693865268754,"{""type"":""MultiPoint"",""coordinates"":[]}"
2323_0,4,81.04245227521282,-60.54146083118176,"{""type"":""MultiPoint"",""coordinates"":[]}"
2325_0,4,63.362397138439626,-50.49684374964952,"{""type"":""MultiPoint"",""coordinates"":[]}"
2327_0,4,80.79994479860036,-58.096961290722945,"{""type"":""MultiPoint"",""coordinates"":[]}"
2330_0,1,65.14821720674185,-51.15130677119754,"{""type"":""MultiPoint"",""coordinates"":[]}"
2334_0,2,65.63790270843175,-49.33667778000205,"{""type"":""MultiPoint"",""coordinates"":[]}"
2346_0,1,60.23749013446766,-43.47166353881142,"{""type"":""MultiPoint"",""coordinates"":[]}"
2352_0,2,61.33361786755013,-46.864280994367306,"{""type"":""MultiPoint"",""coordinates"":[]}"
2356_0,2,62.201019191984614,-49.57994983271453,"{""type"":""MultiPoint"",""coordinates"":[]}"
2358_0,2,67.4147033673503,-49.54911649655925,"{""type"":""MultiPoint"",""coordinates"":[]}"
2365_0,1,78.69436202427538,-70.88301561174626,"{""type"":""MultiPoint"",""coordinates"":[]}"
2368_0,1,78.26824997272821,-68.03221185387861,"{""type"":""MultiPoint"",""coordinates"":[]}"
2380_0,1,67.112840960861,-53.18365944488877,"{""type"":""MultiPoint"",""coordinates"":[]}"
2386_0,4,73.58326465155012,-55.4436878021582,"{""type"":""MultiPoint"",""coordinates"":[]}"
2399_0,1,64.57444940018235,-52.03385187174655,"{""type"":""MultiPoint"",""coordinates"":[]}"
2404_0,2,73.96718969368305,-55.279923150778075,"{""type"":""MultiPoint"",""coordinates"":[]}"
2411_0,3,65.87732998151601,-52.54993806971823,"{""type"":""MultiPoint"",""coordinates"":[]}"
2415_0,3,61.8902365383288,-48.583815789403594,"{""type"":""MultiPoint"",""coordinates"":[]}"
2418_0,4,61.082789073899086,-46.54990021540657,"{""type"":""MultiPoint"",""coordinates"":[]}"
2421_0,1,78.2471750328648,-70.63631540146099,"{""type"":""MultiPoint"",""coordinates"":[]}"
2426_0,2,69.44631534845745,-50.47111771190526,"{""type"":""MultiPoint"",""coordinates"":[]}"
2430_0,4,80.07849967437545,-64.18839887896277,"{""type"":""MultiPoint"",""coordinates"":[]}"
2443_0,3,80.6765311573202,-59.22434089175311,"{""type"":""MultiPoint"",""coordinates"":[]}"
2456_0,2,63.292784774589464,-49.73568630500879,"{""type"":""MultiPoint"",""coordinates"":[]}"
2457_0,2,66.00323884401024,-52.56463107069694,"{""type"":""MultiPoint"",""coordinates"":[]}"
2472_0,3,67.63711830013052,-49.62841475250047,"{""type"":""MultiPoint"",""coordinates"":[]}"
2474_0,2,69.91434105284033,-51.18355660642291,"{""type"":""MultiPoint"",""coordinates"":[]}"
2479_0,3,75.85441053960287,-59.63637105311525,"{""type"":""MultiPoint"",""coordinates"":[]}"
2483_0,1,72.64604739223171,-54.34444517489076,"{""type"":""MultiPoint"",""coordinates"":[]}"
2486_0,2,61.803908572114224,-47.971798841773115,"{""type"":""MultiPoint"",""coordinates"":[]}"
2488_0,3,71.70283762208973,-53.79913094235951,"{""type"":""MultiPoint"",""coordinates"":[]}"
2493_0,2,61.367296615418624,-44.96922793548573,"{""type"":""MultiPoint"",""coordinates"":[]}"
2500_0,4,66.04925725010796,-49.103456701432485,"{""type"":""MultiPoint"",""coordinates"":[]}"
2504_0,3,76.99742321805715,-70.52691547932488,"{""type"":""MultiPoint"",""coordinates"":[]}"
2527_0,1,69.83755277635835,-53.521647538301146,"{""type"":""MultiPoint"",""coordinates"":[]}"
2531_0,4,61.01679918664,-47.297325005670686,"{""type"":""MultiPoint"",""coordinates"":[]}"
