system:index,Constant,NDVI,latitude,longitude,sensPredictions,yearOffset,.geo
0_2_0,1.0,0.37681836,67.60671420942892,-51.20015335485522,0.45527509994481297,-0.47639582,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_50_0,1.0,0.07383146,80.38785424035306,-60.36907779680635,0.0734947251782273,-0.47639582,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_53_0,1.0,-0.37533256,68.31108322370704,-49.375225855166406,-0.011243735608960656,-0.47639582,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_63_0,1.0,7.383592,71.9184479101458,-51.463808890744296,-0.0016054846238692444,-0.47639582,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_92_0,1.0,-0.75839883,71.9244666225494,-51.99462339213052,-0.0022537098812494116,-0.47639582,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_100_0,1.0,-0.45703405,69.68209201033025,-53.40246310540264,-0.008353693742685964,-0.47639582,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_164_0,1.0,0.2833389,67.79607907132132,-50.3312129805264,0.41366399763959505,-0.47639582,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_197_0,1.0,0.35992113,68.27191667731942,-51.72045756741724,0.3941556227640503,-0.47639582,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_230_0,1.0,-0.60934985,75.80123606269561,-58.8828151592306,-0.011972463604749004,-0.47639582,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_240_0,1.0,-0.1212406,70.98276271020691,-50.617595893103704,-0.01758280840650106,-0.47639582,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_241_0,1.0,2.5191815,75.70655363174941,-57.80968772082142,0.0023417085032481693,-0.47639582,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_257_0,1.0,0.0727329,80.36207259169883,-61.69993189022942,0.07033252591170339,-0.47639582,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_263_0,1.0,-0.24797015,75.50182757849858,-57.55357803331894,-0.027687298226193285,-0.47639582,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_284_0,1.0,-0.18371938,69.80632901412397,-52.88467417563614,-0.0012477010378421853,-0.47639582,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_285_0,1.0,-0.10316613,70.66386078434448,-51.09334366757341,-0.06936350788078094,-0.47639582,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_327_0,1.0,-0.32121924,67.78314333123,-49.360403652978434,-0.012127354410277364,-0.47639582,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_356_0,1.0,-0.29857224,80.74933631068275,-58.83358748166085,-0.002141076022410371,-0.47639582,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_400_0,1.0,-0.31518924,80.7759264430927,-62.58073002630861,-0.002800298809631276,-0.47639582,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_421_0,1.0,0.48879534,69.12217209373856,-50.24802898521693,0.4512952346000663,-0.47639582,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_440_0,1.0,-0.022463724,69.68981752177368,-53.120481937717514,0.02542450022910097,-0.47639582,"{""type"":""MultiPoint"",""coordinates"":[]}"
