system:index,latitude,longitude,offset,slope,.geo
5398_0,67.45525825252636,-51.418982958066735,0.2735497226536824,0.008099687794261123,"{""type"":""MultiPoint"",""coordinates"":[]}"
5413_0,64.19536191798504,-51.05354830048691,0.09192934586259177,-0.0019096914631413497,"{""type"":""MultiPoint"",""coordinates"":[]}"
5420_0,76.62382336836386,-64.09142683961241,0.0017202197317945068,8.342114329294206E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
5427_0,78.8608979204067,-68.79895825451236,0.004741621712020458,0.0025217881167020144,"{""type"":""MultiPoint"",""coordinates"":[]}"
5433_0,70.59190573008651,-52.187581515159394,-0.0018620033182790321,-5.301162799460067E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5465_0,61.34536684758744,-46.86173969019999,-0.010825643728593768,-0.0017120811529315774,"{""type"":""MultiPoint"",""coordinates"":[]}"
5479_0,80.37581681554586,-66.76409447292481,0.05363310954714879,6.71678805095778E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5484_0,78.67422800436667,-68.42373196033563,0.057253014581478884,9.77442792938711E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5486_0,61.71340661949121,-46.31143174714837,-0.013474163524293082,9.953405508304387E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
5506_0,68.50125656935514,-50.362294689356936,0.0025347760156922312,-0.0015102544423315652,"{""type"":""MultiPoint"",""coordinates"":[]}"
5513_0,62.00104717346628,-47.56556971530763,-0.009949761485795527,2.487092764518197E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5516_0,65.81897696250266,-52.46156767681585,0.012840609830349554,-0.001566055258730039,"{""type"":""MultiPoint"",""coordinates"":[]}"
5520_0,80.5173913043231,-60.165070395782806,0.03682542062753074,2.9378491321749084E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5547_0,70.28522089208809,-50.7949233301889,0.02621636129976909,-0.003288385566733913,"{""type"":""MultiPoint"",""coordinates"":[]}"
5558_0,60.99241877245689,-47.15611760880596,0.47578363325666395,0.015919319922483584,"{""type"":""MultiPoint"",""coordinates"":[]}"
5566_0,66.08604609647139,-49.9794327152652,-0.011120923772950172,1.5062930669872273E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5568_0,72.06460380687204,-54.383423395661154,0.054345412200581505,-9.850634839487474E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5572_0,66.54661234263948,-51.59002218816309,0.4735225523029067,6.605153139940543E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5574_0,61.17908868849692,-46.36775611546266,0.006738815216902429,-0.005440751105481635,"{""type"":""MultiPoint"",""coordinates"":[]}"
5584_0,69.9041555485646,-54.26933735457797,0.4213477086432854,0.004181527715875194,"{""type"":""MultiPoint"",""coordinates"":[]}"
5585_0,75.98539069594011,-59.38102081580329,-0.00696940811276113,0.004173018241006948,"{""type"":""MultiPoint"",""coordinates"":[]}"
5588_0,80.86476982469212,-62.42469266145705,-1.1074038810688497E-4,0.0014631313741382687,"{""type"":""MultiPoint"",""coordinates"":[]}"
5594_0,80.76335002911502,-59.29002147752198,-0.026917887471433248,0.0021736862121564497,"{""type"":""MultiPoint"",""coordinates"":[]}"
5595_0,61.70702858097396,-46.64542536978401,-0.014306103177187843,1.045963646348219E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
